id,total_validators,p_active_slots,p_created_blocks,non_empty_block,empty_block,vanilla_blocks,a_active_epochs,a_attested_epochs,a_attested_source,a_attested_target,a_attested_head,inc_distance,sync_rate,block_reward,validation_reward,total_reward,proposal_effectiveness,correctness,attestation_rate,att_effectiveness,effectiveness,partition_date
BridgeTower,8939,78,76,75,0,19,2011275,2006741,2005800,2004743.0,1944009,1.0514230278101542,91.3141592335116,7.173854254861152,24.053232507999322,31.227086762856544,0.9615384615384616,0.9868618993756034,0.9977457085679482,0.9364805592112346,0.9458772725839448,2024-01-17
ChainLayer,8916,60,60,60,0,0,2006100,2005674,2004619,2003518.0,1969612,1.0224865621481023,98.9354198106853,5.380312175237953,23.699762659999234,29.080074835233205,1.0,0.9932620507452271,0.9997876476745925,0.9712119122159901,0.9820074451349938,2024-01-17
Staking Facilities,8400,56,56,56,0,0,1890000,1889964,1889134,1888275.0,1865590,1.0185031843932197,98.90317734173674,7.793926520355132,21.781486497999236,29.57541301835075,1.0,0.9952379188712522,0.9999809523809524,0.9771387828810967,0.9857117393006855,2024-01-17
DSRV,8905,74,74,74,0,0,2003625,2002014,2001579,2000272.0,1963131,1.0254355266776776,96.10948169193742,8.577575933272616,23.64970106299921,32.22727699626785,1.0,0.9923650050949321,0.9991959573273442,0.9669716676352897,0.9793572922720561,2024-01-17
stakefish,8490,56,56,56,0,1,1910250,1909442,1909060,1908192.0,1880538,1.0208122297763138,95.01758568222225,5.604359704572035,21.720444890999207,27.324804595567457,1.0,0.9942485713039305,0.9995770187148278,0.9735659446235603,0.9834787153897252,2024-01-17
A41,5500,44,44,44,0,0,1237500,1235805,1235538,1235242.0,1202587,1.0344361377413185,94.87090311247438,5.0420591785623,14.72784704799982,19.769906226559687,1.0,0.9894591245791245,0.998630303030303,0.9552101182119032,0.9720063238824395,2024-01-17
Nethermind,10001,86,86,86,0,0,2250225,2250130,2249179,2248764.0,2222706,1.0187581408598172,99.63249277091904,9.446069759630808,27.0999550469994,36.54602480662576,1.0,0.9955521484888549,0.9999577819995779,0.9771800374793898,0.9857375234246186,2024-01-17
Figment,8928,83,79,79,0,1,2008800,1986602,2001021,2000050.0,1974424,1.0193670000304678,97.3642894740741,7.645899760816892,24.03899875799933,31.684898518812222,0.9518072289156626,0.9915530001327493,0.9889496216646755,0.9619655769830173,0.9581561964577593,2024-01-17
Blockscape,8830,62,62,62,0,0,1986750,1986406,1985533,1985483.0,1959871,1.021138659884363,99.59630303840876,8.312568689798493,23.48720356799902,31.799772257793588,1.0,0.995073528794933,0.9998268529004656,0.9743057175136866,0.9839410734460541,2024-01-17
RockawayX Infra,5743,37,37,37,0,0,1292175,1292163,1291561,1291468.0,1277014,1.018121384487395,99.67946149809308,4.0805022728864255,15.38489920099985,19.465401473883713,1.0,0.9957482539129762,0.9999907133321725,0.9780160027097733,0.9862600016936083,2024-01-17
Stakely,10001,81,80,80,0,0,2250225,2248713,2248491,2248141.0,2213713,1.022945371527918,98.9613590968726,9.512058005674671,26.795618786999086,36.30767679266926,0.9876543209876543,0.9940257826069245,0.9993280671932807,0.9710761607818229,0.9772929708590097,2024-01-17
Everstake,8940,60,60,60,0,5,2011500,2011319,2010580,2009737.0,1984775,1.0179951001545116,99.46403272138231,4.925232282455819,23.60161110099921,28.526843383451066,1.0,0.9951266882094623,0.9999100173999503,0.9774478717742859,0.9859049198589287,2024-01-17
Consensys,8875,82,82,82,0,1,1996875,1996481,1995795,1994809.0,1967840,1.0196157771543553,97.73798746666664,10.30607217269011,24.19008141999966,34.49615359268583,1.0,0.9946281064162754,0.9998026917057903,0.9753005792207181,0.9845628620129488,2024-01-17
Numic,5744,40,39,39,0,0,1292400,1292038,1291658,1290567.0,1270481,1.0195861324023474,98.54229755108881,4.45243249702505,14.968929298999873,19.421361796022367,0.975,0.993682554420716,0.9997199009594553,0.9743210439219677,0.9745756524512298,2024-01-17
Blockdaemon,10001,79,79,78,0,3,2250225,2249839,2248667,2247485.0,2214507,1.0212144832833232,99.31128452396165,9.249039728429512,26.473770870999186,35.72281059942422,0.9873417721518988,0.9940722964740563,0.9998284615982846,0.9732546797668008,0.9785373394112125,2024-01-17
Ebunker,6000,54,54,54,0,0,1350000,1348913,1348485,1348573.0,1322448,1.028681314367027,99.67595111909795,8.501828089842679,16.7159147999998,25.217742889839837,1.0,0.9924706172839506,0.9991948148148149,0.964022074471511,0.9775137965446944,2024-01-17
Kiln,8809,82,81,81,0,1,1982025,1980560,1980210,1981003.0,1953355,1.0240562346460436,99.28159852272731,8.97352517372626,23.423216368999153,32.396741542721486,0.9878048780487805,0.9947012104623638,0.9992608569518548,0.9706166032192802,0.9770622062803429,2024-01-17
