,operator_address,operator_id,percentage,quorum_id,total_batches,total_unsigned_batches,timestamp,total_percentage,frequency
13180,0xf80b7ba7e778abf08a63426886ca40189c7ef48a,0xedebd1222578e5cd75d76c8972ab5ee7439591ee667094aea695b092484877fb,0.1294117647058823,0,85,11,1712750400,0.3918025509199754,61
13158,0x110af279aaffb0d182697d7fc87653838aa5945e,0xa4a276a179a448bb62e32a82dafe3993b3766e4356d14d48ff4b71ac43eb510c,0.0117647058823529,0,85,1,1712750400,0.0363224340015334,61
13159,0x1f8c8b1d78d01bcc42ebdd34fae60181bd697662,0xea61fbbb7f1348ee997d00f89fa83c92ede1d2f2b4962b30e29e46ca39b40e35,0.0,0,85,0,1712750400,1.9326362159381223,61
13160,0x2e68d03f2234895b3ba5899b80785e2598ed7fac,0x9451e780b7a82699a8a5345caf25822345920da114581a31b412b59694f13adc,0.0,0,85,0,1712750400,0.0028089887640448,61
13161,0x3ca973165bc7d1dcd7adff778ae1892b15914552,0x567f5cd99014498aee2e719ee1a87c7120a16205b724e4ac1b20e90864474174,0.0117647058823529,0,85,1,1712750400,2.185375816993464,61
13162,0x4cd2086e1d708e65db5d4f5712a9ca46ed4bbd0a,0x62fd7709add808809511fe2d3a230cd9cb7321cc2f47e2c35fd959d0449be8ee,0.0,0,85,0,1712750400,1.25677191550481,61
13163,0x529ec9ac9a80428cf8c92557f2eb1b336616f543,0xdc504cf506e8b0562bf55d13e75704869c2e80b2c17ce834840e7baaf1ffed7a,0.0,0,85,0,1712750400,2.712455464639725,61
13164,0x5accc90436492f24e6af278569691e2c942a676d,0x475ca3b08b5861bb0f8e49ebc14775847cf531c6c16a1473d4610d6f609f179c,0.0823529411764706,0,85,7,1712750400,0.4635972722341549,61
13165,0x6573629204b65faac121c1b556b91a694d0e23c8,0x7bd201d192cd84f224b5fc8fd8b3ce7ce8009021d4253d57dc44e7276fc20ae0,0.0,0,85,0,1712750400,0.1922688069203785,61
13166,0x67fc8951c64e6ff8921fe6cd004c2224ec7eecfd,0x5449c61f4d7836d10de82e8ad4a77810589ab145061da0338929c6561545b44c,0.0235294117647059,0,85,2,1712750400,0.1415849673202614,61
13167,0x938270c4b0c634484bf2eb091cdc2973ac9e416e,0xb1b2e499ff75773b04b605e23a0db282c3abcdb06c8d9affa79b9cad43b2ef23,0.0,0,85,0,1712750400,5.350825343724371,61
13179,0xeba5b526b5a0636196bacb3b137be143adcb6ca6,0x145b636c35a83c7c7556c0e7dec00a749d211b0657f89784a568416e0a25e2c2,0.0,0,85,0,1712750400,0.0102459016393442,61
13169,0xa305f083428f6ddb9a287d92e0aa109ea05f342a,0x8d4e5576c75115b4f0206d4af8bcbf5fb807607b9ad204a0884ad269981132f3,0.0117647058823529,0,85,1,1712750400,0.0187577128753598,61
13168,0x9c5469e242532e89ff8666f6deb0a5dd8d7c8925,0x7730acb2b5ee650752a368bef35a1adb3c6ff5c5f4a5bea02ab270995f71de2b,0.9411764705882352,0,85,80,1712750400,3.136915345224575,61
13178,0xe5801326014db4f6729264db38f5f5430bc2fbfa,0x3a6f497e1db3dcc4aec8b8822f9bc3f35c8dccc361505cb308d0015c3793f567,0.0,0,85,0,1712750400,0.0,61
13176,0xd172a86a0f250aec23ee19c759a8e73621fe3c10,0xfcaffb0c80a3202d233f2b2b037a17528706afb73b1ac21194b3708177c8f301,0.0,0,85,0,1712750400,0.051087984422527495,61
13175,0xccaa639d3afdc77b562a4673b2ecde6770349675,0x4af3dac73046df0094622345c6546dafd0125ac82675783c76939c70c90c3583,0.0117647058823529,0,85,1,1712750400,0.0117647058823529,61
13177,0xdb9afbdcfeca94dfb25790c900c527969e78bd3c,0x57279ee111eae047c50148a1828b367aab0de682a8b2f871773b7ceedfec0ccf,0.0,0,85,0,1712750400,0.0304457130140693,61
13173,0xb81b18c988bfc7d131fca985a9c531f325e98a2f,0x52cdf25657d146c979e43ac697ed359fc5efb203895b5ed797b3c534e6354eb0,0.2352941176470588,0,85,20,1712750400,1.0953854152383562,61
13172,0xb1ea8424075a71cd97f95ed64069241ffd4833be,0xdc9181f5b57437dcaaf3bb375cb770220dd467a179bdcab6f03e752face8d62e,0.0,0,85,0,1712750400,0.0069444444444444,61
13171,0xa83e07353a9ed2af88e7281a2fa7719c01356d8e,0xc6605b3131884ae314f8c89b4cbcf89f55765a5ccb2242596d6fa04546c4a6a4,0.0,0,85,0,1712750400,0.0386294093901967,61
13170,0xa3ff1491088715d140bc821a28287cb3f71b43e4,0x35a645a980a13c0cb3024a5e78408ddde2b5affd306cd331ce2be9cd5968ca23,0.0117647058823529,0,85,1,1712750400,0.034508799157172296,61
13174,0xcaaeb411241ac87b5846797c15bf339a54a1d736,0x53db8d725c0ab3508a316c447486588e8ecf3f0e312e1eb660a78cc4da0435b9,0.1294117647058823,0,85,11,1712750400,0.4267090620031795,61
13132,0x4cd2086e1d708e65db5d4f5712a9ca46ed4bbd0a,0x62fd7709add808809511fe2d3a230cd9cb7321cc2f47e2c35fd959d0449be8ee,0.0,0,143,0,1712836800,1.25677191550481,61
13138,0x858dacb5accdb783c47b4debf30f96f2f0079f4b,0xf4d2e74aefcf9a4201e7fcd300f93faf1628fdf83397a950dd49c48cc5113aaf,0.0,0,143,0,1712836800,0.0139860139860139,60
13137,0x71c6f7ed8c2d4925d0baf16f6a85bb1736d412eb,0xd91c7c8888da9062e48e92d20813dfa8ce7f581d327b36237040354c5159db0e,0.0,0,143,0,1712836800,4.953529941725742,60
13135,0x6573629204b65faac121c1b556b91a694d0e23c8,0x7bd201d192cd84f224b5fc8fd8b3ce7ce8009021d4253d57dc44e7276fc20ae0,0.0,0,143,0,1712836800,0.1922688069203785,61
13134,0x5accc90436492f24e6af278569691e2c942a676d,0x475ca3b08b5861bb0f8e49ebc14775847cf531c6c16a1473d4610d6f609f179c,0.0419580419580419,0,143,6,1712836800,0.4635972722341549,61
13133,0x529ec9ac9a80428cf8c92557f2eb1b336616f543,0xdc504cf506e8b0562bf55d13e75704869c2e80b2c17ce834840e7baaf1ffed7a,0.0,0,143,0,1712836800,2.712455464639725,61
13131,0x46b3f7b5be0787765565a6d8a645266a9347ab82,0x2a5ccd8075a6e252f1448cd3fdbcde296d2f56aaf2d757c5863db608ae41b02e,0.8041958041958042,0,143,115,1712836800,1.5630895277488819,60
13126,0x110af279aaffb0d182697d7fc87653838aa5945e,0xa4a276a179a448bb62e32a82dafe3993b3766e4356d14d48ff4b71ac43eb510c,0.0,0,143,0,1712836800,0.0363224340015334,61
13129,0x30eafe8869a1528660a97b7a7e8e2d0037dcb922,0xcffbe594450f504166351b566f219f6f04720479e380652dbbc5cb43fe812b35,0.0489510489510489,0,143,7,1712836800,0.1937786351579454,60
13128,0x2e68d03f2234895b3ba5899b80785e2598ed7fac,0x9451e780b7a82699a8a5345caf25822345920da114581a31b412b59694f13adc,0.0,0,143,0,1712836800,0.0028089887640448,61
13127,0x1f8c8b1d78d01bcc42ebdd34fae60181bd697662,0xea61fbbb7f1348ee997d00f89fa83c92ede1d2f2b4962b30e29e46ca39b40e35,0.0,0,143,0,1712836800,1.9326362159381223,61
13139,0x8d56b0829f6e840176cfa39c21b4fccf4350be8a,0x01d0d6d4276a88ba70ae6ef384288f846bab6d311716a4147111c7cf486b38c9,0.0069930069930069,0,143,1,1712836800,0.6740921606333645,55
13125,0x08d112be16ff37ca6dc8ea06efefd676a42502aa,0x0824ab32bfcda7b4e253823f2421891fe791cc95e3de2e55a310de6f4b2b1269,0.0139860139860139,0,143,2,1712836800,0.2547037429793976,60
13124,0x082c10c9715742ab97db17075e50e1ac98b07c12,0xd27235a6cd525c9ee368679225b3c7ce9c24685649cfd6d22d0d07985d75b0d7,0.0,0,143,0,1712836800,0.0,60
13130,0x3ca973165bc7d1dcd7adff778ae1892b15914552,0x567f5cd99014498aee2e719ee1a87c7120a16205b724e4ac1b20e90864474174,0.0,0,143,0,1712836800,2.185375816993464,61
13140,0x938270c4b0c634484bf2eb091cdc2973ac9e416e,0xb1b2e499ff75773b04b605e23a0db282c3abcdb06c8d9affa79b9cad43b2ef23,0.0,0,143,0,1712836800,5.350825343724371,61
13136,0x67fc8951c64e6ff8921fe6cd004c2224ec7eecfd,0x5449c61f4d7836d10de82e8ad4a77810589ab145061da0338929c6561545b44c,0.0,0,143,0,1712836800,0.1415849673202614,61
13142,0x9c5469e242532e89ff8666f6deb0a5dd8d7c8925,0x7730acb2b5ee650752a368bef35a1adb3c6ff5c5f4a5bea02ab270995f71de2b,1.0,0,143,143,1712836800,3.136915345224575,61
13141,0x9567e2e3c4e134ace5bc3095a572e64ff4b1e7f6,0xcf4cc1f05f4170ef53fde71a959613b16e62c0c342f277631867a342a4ed7e00,0.0,0,143,0,1712836800,0.0,60
13157,0xf80b7ba7e778abf08a63426886ca40189c7ef48a,0xedebd1222578e5cd75d76c8972ab5ee7439591ee667094aea695b092484877fb,0.0,0,143,0,1712836800,0.3918025509199754,61
